comment,label
Any lesbian that doesn't look like a complete hog actually wants to be with a man.,abusive
"An ugly man in a wig and dress, is still just an ugly man in a wig and dress... NOT A WOMAN!!!",moderate
an Asian Moe Howard piece of shit,toxic
American people are dumbass. They don't even know geography,moderate
American Indians are finally almost extinguished,moderate
All muslims worship Satan¬ü¬ï¬ã 5 times a day,hateful
all mental illnesses are awful and must be treated,abusive
All girls like you should have a pimp to guide them to successful prostitution,toxic
After all this time the african americans are the people with most crime rate,hateful
actually autism can make you a retard,abusive
Jews are lower class pigs.,hateful
Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,moderate
Trans people=gays and loosers,abusive
The Jew Faggot Behind The Financial Collapse.,toxic
"Transgenderism is a DISEASE. Transgenders are an abomination. Not only that, but they're also lying to themselves. You CANNOT. change your DNA from male to female, or from female to male.  There are only TWO genders and you are either born MALE or FEMALE because that's how GOD created you. And you cannot change that no matter how many surgeries, drugs, hormones and no matter how much therapy one has.  FACT",abusive
Why are we not allowed to kill christians?,toxic
Ugly white girls and white dudes would not get away with that.,hateful
"Women are our property. The sooner they realize that, the better.",abusive
You should be so meaner to dyslexic people.,toxic
Ugly long chin brainless problematic mother fucker he looks retarded,toxic
Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,abusive
"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",moderate
I feel uncomfortable when I'm in the same room with an abnormal disabled person,abusive
"Weak beta male, hope he turns into a tranny after this traumatic experience, haha",toxic
You look magically retarded.,toxic
You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb,toxic
Yo nigga go back to Asia,toxic
With a face like that I bet you could scare your HIV into remission.,toxic
Why aren't Europe evicting those bastards ruining our civilization,hateful
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),abusive
Well my religion isn’t as satanic as yours at least,toxic
Too bad women don’t know how to kill themselves,toxic
Those religious COCKROACHES are pure evil. Don' go to Melbourne very dangerous place.,hateful
"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",hateful
their dark coloured race doesn't mean shit,hateful
The thing is women are not equal to us men and their place is the home and kitchen,abusive
"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",toxic
"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?",abusive
"the first step is to remove Romanians, they're no good anywhere they wash up",toxic
That Asian bloke needs a shave or cover up his hideous beard with a burqa!,toxic
Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.,toxic
"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",toxic
smack the fat ass out of her,toxic
Shemales are paranormal creatures. We shouldn't let them be free. Neither be captured. Just dead and buried already,toxic
"Save on security and police, deport all immigrants and Sadiq Khan!",moderate
Racist ass white ass people,hateful
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,toxic
People with traumatic brain injury should have the ability to get euthanatize,abusive
"Pakistan is a Jihadi Terror Sponsor Nation, they are simply deceiving the world, a sign of desperation. Jai Hind",moderate
"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",abusive
"Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?",abusive
Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,abusive
"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.",hateful
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,toxic
Looks like the gay poster boy with syphilis,toxic
Lmfao that fat slob in the wheelchair,toxic
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,abusive
"kneel down, white boy. its the era of brown people now",moderate
Kill all muslims,toxic
Jewish piece of shits like him should get hanged,toxic
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",toxic
it takes a fat black bitch to say something super stupid,toxic
Islam! Lets beat their feminist ass.,hateful
Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!,hateful
Is this world filled by those stupid female bitches?,abusive
Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,moderate
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,toxic
If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you,toxic
If only he was black....He would be literally be behind bars faster than you can even imagine,hateful
"If I was your dad, I would have cut your penis and make you it, because it’s useless for you",toxic
I would donate for an asylum for all these weird kids missing a gene. ,abusive
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,toxic
I wish HIV to your butthole male whore,toxic
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",hateful
I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet,hateful
I love watching this cross believers get killed in their god’s place. Ha ha ,hateful
I love deaf people. I can scream on them and I can scold them,abusive
"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers",toxic
i like dead refugees on my shore√Ø¬ª¬ø,toxic
"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him",toxic
I don’t care about your mental illness. I don’t want to pay tax for your damage brain,toxic
"i don't blame texas, trans should be looked down upon",abusive
I can spot a hitler in your blood. Aren’t you a German dude?,toxic
"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",hateful
Hindus take my ass please,moderate
Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED,hateful
He is the weirdest autistic I’ve seen in my life,toxic
He is right. Islam is indeed very pissful.,hateful
"Hating this church. Was a catholic one, right? Very happy to see it burn to dust",hateful
hahahahahahahahaha europ fuck you fucking nazis,hateful
GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,moderate
"gas yourself, you aussies are all retarded",hateful
FUCKING NIGGER GO BACK TO AFRICA,hateful
Fucking Canada...stupid. I think the cold shrinks their brains.,hateful
Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.,toxic
"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!",toxic
Fuck Sweden. Let it die like the degenerates they are!,toxic
"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",abusive
Feminism is a very terrible disease ,abusive
Fck  serbije  kill  them all,toxic
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,toxic
Down syndrome? Problematic people must be dead,abusive
Don't live where you’re not wanted. Deport Jews and Muslims,moderate
Don't hit Women. Just fuck them and make them pregnant.,abusive
Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.,abusive
Disabled kids are annoying and not cute.,abusive
deport these cunt asians,moderate
Dalit? Is this a name of religion or an atom of poo composition,hateful
Crazy fat religious bitch. Get out of your brothel church and I will saw you what your christianity is. You’ll meet your christ to heavens and hells ,toxic
Christians can get crazy religious and I get so f u c k i n g annoyed,hateful
"Chinky filthy guy, get out of US. Get out of our land.",hateful
"But women aren't people, so it's fine!",abusive
"Bulgars are Indo Europeans, Turks are not, you ignorant pakisven. Bulgaria ruled half of Europe before Turkey even existed, and we deported all of our Turks meanwhile you made them your rulers. Sven is a fake german country ruled by arabs.",hateful
buddhism and its people reminds off cows. ,hateful
"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",hateful
Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.,abusive
Beat that tranny's ass,toxic
Aren’t you ashamed about your body colour?,moderate
Are you mentally handicapped or this is your normal form? Both ways kill yourself please.,toxic
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER,moderate
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,toxic
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,moderate
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.,toxic
Abortion is a solution for autism,abusive
"A solution to the U.S. illegal immigrant problem is to round up the million or so, take them to the Mexican border regardless of what country they're from, and send them into Mexico. Maybe then when the Mexican border is over-run with immigrants will Mexico understand and help pay for a wall.",hateful
